papel,segmento,cotacao,ffo_yield,dividend_yield,p_vp,valor_mercado,liquidez,qtd_imovel,preco_m2,aluguel_m2,cap_rate,vacancia_media
AAZQ11,Títulos e Val. Mob.,8.98,12.89,15.5,0.93,215855000.0,1075100.0,0,0.0,0.0,0.0,0.0
ABCP11,Shoppings,72.19,9.11,8.5,0.79,339949000.0,63125.0,1,4760.92,747.5,15.7,2.13
AEFI11,Outros,174.9,8.66,0.0,1.22,411893000.0,0.0,7,4305.0,380.97,8.85,0.0
AFCR11,Títulos e Val. Mob.,103.15,4.41,0.0,1.02,394422000.0,0.0,0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val. Mob.,100.98,10.87,11.68,1.05,337586000.0,1064800.0,0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.6,4.35,0.0,1.05,139054000.0,0.0,0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.9,0.0,11.49,14317200000.0,0.0,54,190439.0,1929.88,1.01,1.21
AGRX11,Híbrido,11.06,11.84,14.96,1.09,109299000.0,396616.0,0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,55.8,18.31,17.53,0.59,269234000.0,776213.0,2,11217.0,2358.78,21.03,0.0
AJFI11,Títulos e Val. Mob.,9.66,0.0,0.72,1.0,305507000.0,1099150.0,0,0.0,0.0,0.0,0.0
ALMI11,Lajes Corporativas,690.0,3.71,0.0,0.34,76712100.0,16355.0,1,4291200.0,499324.53,11.64,94.01
ALZM11,Títulos e Val. Mob.,8.74,45.61,11.06,0.1,13267800.0,201707.0,0,0.0,0.0,0.0,0.0
ALZR11,Híbrido,119.54,6.75,7.78,1.12,1178710000.0,1718200.0,13,5927.09,377.38,6.37,3.2
ANCR11B,Shoppings,3221.0,12.04,1.9,0.82,1530990000.0,781.0,5,7540.39,1267.6,16.81,4.42
APTO11,Híbrido,9.75,11.91,11.55,0.94,39125400.0,34524.0,4,17641.9,1321.66,7.49,0.0
APXM11,Híbrido,100.49,3.27,1.94,1.05,176862000.0,580696.0,1,1704.44,37.34,2.19,92.0
ARCT11,Híbrido,87.13,12.85,0.45,0.86,323093000.0,0.0,11,1034.13,112.0,10.83,0.0
AROA11,Outros,1.52,1.52,0.39,1.43,255249000.0,24122.0,6,5668.4,128.03,2.26,0.0
ARRI11,Títulos e Val. Mob.,8.98,9.27,12.72,1.0,117245000.0,274139.0,0,0.0,0.0,0.0,0.0
ARXD11,Títulos e Val. Mob.,97.5,4.83,8.34,0.99,63852300.0,210022.0,0,0.0,0.0,0.0,0.0
ASMT11,Híbrido,57.0,7.86,2.66,0.67,57987000.0,15755.0,3,5275.98,751.13,14.24,0.0
ASRF11,Híbrido,10092.0,3.8,0.0,1.0,24220800.0,0.0,0,0.0,0.0,0.0,0.0
ATSA11,Shoppings,54.42,0.38,0.18,0.67,95297100.0,730.0,1,2786.78,24.03,0.86,20.15
AURB11,Logística,95.0,5.77,0.0,1.15,83653200.0,304876.0,2,2385.08,159.76,6.7,10.4
BARI11,Títulos e Val. Mob.,83.96,8.87,10.49,0.87,389087000.0,769871.0,1,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1203.0,19.27,12.5,0.56,156390000.0,303974.0,2,1700.1,372.63,21.92,39.29
BBFO11,Títulos e Val. Mob.,73.89,17.14,10.31,0.91,295848000.0,644019.0,0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val. Mob.,90.38,18.98,12.47,0.93,361987000.0,592622.0,0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,96.75,10.35,8.06,0.98,1540230000.0,0.0,63,3985.69,456.8,11.46,0.0
BBRC11,Outros,115.78,10.54,10.51,1.08,184090000.0,121045.0,20,11522.4,1443.08,12.52,0.0
BBVJ11,Lajes Corporativas,62.99,2.77,0.0,0.95,197789000.0,0.0,1,9909.29,623.48,6.29,51.48
BCFF11,Títulos e Val. Mob.,9.31,8.61,8.57,0.95,1875880000.0,3123770.0,0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val. Mob.,105.49,9.3,8.76,0.98,392321000.0,651055.0,0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val. Mob.,75.37,12.46,11.6,0.79,471656000.0,657622.0,0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val. Mob.,900.01,10.82,11.89,0.91,81279900.0,376.0,0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val. Mob.,73.84,19.74,23.03,1.69,36920000.0,2334.0,0,0.0,0.0,0.0,0.0
BIME11,Híbrido,7.57,12.59,12.06,0.87,44251200.0,75928.0,3,317.91,0.0,0.0,0.0
BIPD11,Híbrido,1000.0,-1.11,0.0,1.01,74334000.0,0.0,2,14523.4,0.0,0.0,0.0
BLCA11,Lajes Corporativas,130.0,5.22,13.29,0.93,208000000.0,13109.0,1,41720.2,3216.02,7.71,0.0
BLCP11,Logística,91.0,5.41,0.0,0.81,208962000.0,0.0,2,3014.16,199.89,6.63,0.0
BLMC11,Títulos e Val. Mob.,86.79,10.89,10.49,0.9,34672600.0,441968.0,0,0.0,0.0,0.0,0.0
